*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=05Jul14
*Date=15:36:20
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;27.7114;-36.4219;0;Bottom;Copper Fill12
103;;;2.3085;-23.7129;0;Bottom;speaker
104;;THT;23.8985;-33.8729;0;Bottom;set hour
105;;;26.416;-10.0567;0;Bottom;Copper Fill86
106;;;13.3096;-40.2954;0;Bottom;Copper Fill50
107;;;2.2733;-21.6137;0;Bottom;Copper Fill92
108;;;22.5933;-18.2863;0;Bottom;Copper Fill89
109;;;36.9316;-19.9754;0;Bottom;Copper Fill99
110;;;23.9014;-33.8565;0;Bottom;Copper Fill64
111;;;27.7114;-16.0765;0;Bottom;Copper Fill77
112;170;THT;12.4685;-24.9829;90;Bottom;R1
113;;;17.3228;-42.5687;0;Bottom;Copper Fill61
114;;;23.9014;-10.9965;0;Bottom;Copper Fill83
115;;;3.1496;-22.5154;0;Bottom;Copper Fill94
116;;;23.9014;-13.5365;0;Bottom;Copper Fill81
117;;;31.5214;-28.7765;0;Bottom;Copper Fill24
118;;;1.3716;-22.5154;0;Bottom;Copper Fill43
119;;;31.5214;-26.2365;0;Bottom;Copper Fill25
120;;THT;37.8685;-13.5529;0;Bottom;AM/PM
121;;;31.5214;-38.9365;0;Bottom;Copper Fill11
122;;;25.1714;-25.9571;0;Bottom;Copper Fill70
123;;;25.6051;-1.90978;0;Bottom;TXT1
124;;;27.4066;-41.5019;0;Bottom;Copper Fill8
